内容▲,书籍 (作者),类型,位置,日期,
swineherd’s,A Clash of Kings (George R. R. Martin),标注,6097,2018/11/21 9:09,
"hovel,",A Clash of Kings (George R. R. Martin),标注,6097,2018/11/21 9:09,
scrying,A Clash of Kings (George R. R. Martin),标注,6098,2018/11/21 9:10,
draped,A Clash of Kings (George R. R. Martin),标注,6099,2018/11/21 9:10,
"languid,",A Clash of Kings (George R. R. Martin),标注,6101,2018/11/21 9:10,
crusted,A Clash of Kings (George R. R. Martin),标注,6101,2018/11/21 9:10,
petition,A Clash of Kings (George R. R. Martin),标注,6104,2018/11/21 9:11,
Quaithe,A Clash of Kings (George R. R. Martin),标注,6106,2018/11/21 9:12,
lacquer,A Clash of Kings (George R. R. Martin),标注,6107,2018/11/21 9:13,
cryptic,A Clash of Kings (George R. R. Martin),标注,6112,2018/11/21 9:14,
portico.,A Clash of Kings (George R. R. Martin),标注,6124,2018/11/21 9:42,
disquieted,A Clash of Kings (George R. R. Martin),标注,6128,2018/11/21 10:08,
wrath.,A Clash of Kings (George R. R. Martin),标注,6137,2018/11/21 12:56,
meager.,A Clash of Kings (George R. R. Martin),标注,6138,2018/11/21 12:57,
prickling,A Clash of Kings (George R. R. Martin),标注,6141,2018/11/21 12:57,
snares.,A Clash of Kings (George R. R. Martin),标注,6144,2018/11/21 12:58,
mound,A Clash of Kings (George R. R. Martin),标注,6147,2018/11/21 12:58,
"bring you Quhuru Mo, captain of the Cinnamon Wind",A Clash of Kings (George R. R. Martin),标注,6149,2018/11/21 12:59,
she no longer had a place. And now this ebony,A Clash of Kings (George R. R. Martin),标注,6162,2018/11/21 13:01,
ebony,A Clash of Kings (George R. R. Martin),标注,6162,2018/11/21 13:01,
besmirch,A Clash of Kings (George R. R. Martin),标注,6166,2018/11/21 13:02,
bereft,A Clash of Kings (George R. R. Martin),标注,6171,2018/11/21 13:03,
uncoiled,A Clash of Kings (George R. R. Martin),标注,6183,2018/11/21 14:10,
skittered,A Clash of Kings (George R. R. Martin),标注,6184,2018/11/21 14:10,
wingtips,A Clash of Kings (George R. R. Martin),标注,6184,2018/11/21 14:10,
crones,A Clash of Kings (George R. R. Martin),标注,6190,2018/11/21 14:11,
wary,A Clash of Kings (George R. R. Martin),标注,6196,2018/11/21 14:12,
hooted.,A Clash of Kings (George R. R. Martin),标注,6201,2018/11/21 14:13,
snared.”,A Clash of Kings (George R. R. Martin),标注,6202,2018/11/21 14:13,
Thrashing,A Clash of Kings (George R. R. Martin),标注,6202,2018/11/21 14:14,
ensnaring,A Clash of Kings (George R. R. Martin),标注,6203,2018/11/21 14:14,
piteous,A Clash of Kings (George R. R. Martin),标注,6204,2018/11/21 14:14,
"whine,",A Clash of Kings (George R. R. Martin),标注,6204,2018/11/21 14:14,
kicking,A Clash of Kings (George R. R. Martin),标注,6204,2018/11/21 14:14,
cords,A Clash of Kings (George R. R. Martin),标注,6204,2018/11/21 14:14,
wriggling,A Clash of Kings (George R. R. Martin),标注,6216,2018/11/21 14:17,
squirmed,A Clash of Kings (George R. R. Martin),标注,6217,2018/11/21 14:17,
teasing,A Clash of Kings (George R. R. Martin),标注,6223,2018/11/21 14:19,
chip,A Clash of Kings (George R. R. Martin),标注,6243,2018/11/21 14:30,
acorn,A Clash of Kings (George R. R. Martin),标注,6257,2018/11/21 14:32,
plucked,A Clash of Kings (George R. R. Martin),标注,6260,2018/11/21 14:33,
rumbling,A Clash of Kings (George R. R. Martin),标注,6273,2018/11/21 14:36,
growl,A Clash of Kings (George R. R. Martin),标注,6273,2018/11/21 14:36,
slinking,A Clash of Kings (George R. R. Martin),标注,6292,2018/11/22 9:16,
foliage,A Clash of Kings (George R. R. Martin),标注,6292,2018/11/22 9:16,
turret,A Clash of Kings (George R. R. Martin),标注,6296,2018/11/22 9:17,
"stool,",A Clash of Kings (George R. R. Martin),标注,6298,2018/11/22 9:17,
sconce,A Clash of Kings (George R. R. Martin),标注,6301,2018/11/22 9:18,
collar,A Clash of Kings (George R. R. Martin),标注,6314,2018/11/22 9:20,
temptation,A Clash of Kings (George R. R. Martin),标注,6322,2018/11/22 10:54,
mages,A Clash of Kings (George R. R. Martin),标注,6324,2018/11/22 10:55,
"ember,",A Clash of Kings (George R. R. Martin),标注,6330,2018/11/22 10:57,
lore.,A Clash of Kings (George R. R. Martin),标注,6331,2018/11/22 10:57,
fosterling,A Clash of Kings (George R. R. Martin),标注,6337,2018/11/22 10:58,
rare,A Clash of Kings (George R. R. Martin),标注,6339,2018/11/22 10:59,
savory,A Clash of Kings (George R. R. Martin),标注,6340,2018/11/22 10:59,
scratchy,A Clash of Kings (George R. R. Martin),标注,6348,2018/11/22 11:02,
sleep-befuddled,A Clash of Kings (George R. R. Martin),标注,6349,2018/11/22 11:02,
drowsy,A Clash of Kings (George R. R. Martin),标注,6351,2018/11/22 11:04,
scarce,A Clash of Kings (George R. R. Martin),标注,6351,2018/11/22 11:04,
flickering,A Clash of Kings (George R. R. Martin),标注,6352,2018/11/22 11:05,
scrutinizing,A Clash of Kings (George R. R. Martin),标注,6352,2018/11/22 11:05,
poring,A Clash of Kings (George R. R. Martin),标注,6353,2018/11/22 11:05,
tepid,A Clash of Kings (George R. R. Martin),标注,6354,2018/11/22 11:15,
"garderobe,",A Clash of Kings (George R. R. Martin),标注,6354,2018/11/22 11:15,
bowels,A Clash of Kings (George R. R. Martin),标注,6355,2018/11/22 11:15,
bedrobe,A Clash of Kings (George R. R. Martin),标注,6356,2018/11/22 11:16,
flaxen,A Clash of Kings (George R. R. Martin),标注,6356,2018/11/22 11:16,
velvet,A Clash of Kings (George R. R. Martin),标注,6357,2018/11/22 11:17,
overtaxing,A Clash of Kings (George R. R. Martin),标注,6361,2018/11/22 11:17,
relapse.”,A Clash of Kings (George R. R. Martin),标注,6362,2018/11/22 11:17,
curtly.,A Clash of Kings (George R. R. Martin),标注,6362,2018/11/22 11:18,
mulled,A Clash of Kings (George R. R. Martin),标注,6365,2018/11/22 11:19,
"behest,",A Clash of Kings (George R. R. Martin),标注,6366,2018/11/22 11:19,
prisoner.,A Clash of Kings (George R. R. Martin),标注,6370,2018/11/22 11:20,
staunch,A Clash of Kings (George R. R. Martin),标注,6370,2018/11/22 11:20,
sneer,A Clash of Kings (George R. R. Martin),标注,6370,2018/11/22 11:21,
rebuffed.,A Clash of Kings (George R. R. Martin),标注,6377,2018/11/22 11:22,
wineskin.”,A Clash of Kings (George R. R. Martin),标注,6381,2018/11/22 11:23,
flicker,A Clash of Kings (George R. R. Martin),标注,6383,2018/11/22 11:24,
defiance,A Clash of Kings (George R. R. Martin),标注,6393,2018/11/22 11:25,
albeit,A Clash of Kings (George R. R. Martin),标注,6404,2018/11/22 12:25,
swirled,A Clash of Kings (George R. R. Martin),标注,6405,2018/11/22 12:25,
vouch,A Clash of Kings (George R. R. Martin),标注,6410,2018/11/22 12:26,
vigor.,A Clash of Kings (George R. R. Martin),标注,6410,2018/11/22 12:26,
Moisten,A Clash of Kings (George R. R. Martin),标注,6416,2018/11/22 12:27,
dew,A Clash of Kings (George R. R. Martin),标注,6416,2018/11/22 12:27,
"clever as you?” The city streets were dangerous, but with Bronn beside him Tyrion felt safe enough. The guards let him out a postern",A Clash of Kings (George R. R. Martin),标注,6430,2018/11/22 12:30,
postern,A Clash of Kings (George R. R. Martin),标注,6430,2018/11/22 12:30,
thence,A Clash of Kings (George R. R. Martin),标注,6431,2018/11/22 12:30,
"crone,",A Clash of Kings (George R. R. Martin),标注,6433,2018/11/22 12:31,
wiles.,A Clash of Kings (George R. R. Martin),标注,6435,2018/11/22 12:32,
devours,A Clash of Kings (George R. R. Martin),标注,6436,2018/11/22 12:32,
stunted,A Clash of Kings (George R. R. Martin),标注,6438,2018/11/22 12:33,
grotesque,A Clash of Kings (George R. R. Martin),标注,6438,2018/11/22 12:33,
turret,A Clash of Kings (George R. R. Martin),标注,6440,2018/11/22 12:34,
vintages,A Clash of Kings (George R. R. Martin),标注,6442,2018/11/22 12:34,
commiserated,A Clash of Kings (George R. R. Martin),标注,6444,2018/11/22 12:34,
priestess.,A Clash of Kings (George R. R. Martin),标注,6445,2018/11/22 12:35,
ventured,A Clash of Kings (George R. R. Martin),标注,6447,2018/11/22 12:35,
freckles,A Clash of Kings (George R. R. Martin),标注,6452,2018/11/22 12:36,
breeches.,A Clash of Kings (George R. R. Martin),标注,6453,2018/11/22 12:36,
"freckles,",A Clash of Kings (George R. R. Martin),标注,6454,2018/11/22 12:36,
porcelain,A Clash of Kings (George R. R. Martin),标注,6459,2018/11/22 12:37,
piebald,A Clash of Kings (George R. R. Martin),标注,6466,2018/11/22 12:39,
pounded,A Clash of Kings (George R. R. Martin),标注,6472,2018/11/22 12:40,
ornate,A Clash of Kings (George R. R. Martin),标注,6472,2018/11/22 12:40,
harelip,A Clash of Kings (George R. R. Martin),标注,6473,2018/11/22 12:41,
harelip and a lazy eye. Tyrion had wanted,A Clash of Kings (George R. R. Martin),标注,6474,2018/11/22 12:41,
loitering,A Clash of Kings (George R. R. Martin),标注,6474,2018/11/22 12:41,
foulsmelling,A Clash of Kings (George R. R. Martin),标注,6476,2018/11/22 12:42,
Ibbenese,A Clash of Kings (George R. R. Martin),标注,6476,2018/11/22 12:42,
mercenaries,A Clash of Kings (George R. R. Martin),标注,6477,2018/11/22 17:31,
Ibbenese,A Clash of Kings (George R. R. Martin),标注,6482,2018/11/22 17:32,
limned,A Clash of Kings (George R. R. Martin),标注,6485,2018/11/22 17:34,
scorned,A Clash of Kings (George R. R. Martin),标注,6494,2018/11/22 17:40,
barley,A Clash of Kings (George R. R. Martin),标注,6500,2018/11/22 17:42,
trestle,A Clash of Kings (George R. R. Martin),标注,6502,2018/11/22 17:43,
undercroft,A Clash of Kings (George R. R. Martin),标注,6502,2018/11/22 17:43,
plunder,A Clash of Kings (George R. R. Martin),标注,6510,2018/11/22 17:52,
provender.,A Clash of Kings (George R. R. Martin),标注,6510,2018/11/22 17:52,
"granaries,",A Clash of Kings (George R. R. Martin),标注,6513,2018/11/22 17:54,
lopsided,A Clash of Kings (George R. R. Martin),标注,6520,2018/11/22 17:55,
slagged,A Clash of Kings (George R. R. Martin),标注,6521,2018/11/23 8:12,
strutting,A Clash of Kings (George R. R. Martin),标注,6523,2018/11/23 8:13,
swatted,A Clash of Kings (George R. R. Martin),标注,6524,2018/11/23 8:13,
"provocation,",A Clash of Kings (George R. R. Martin),标注,6525,2018/11/23 8:14,
latrine,A Clash of Kings (George R. R. Martin),标注,6526,2018/11/23 8:14,
calf,A Clash of Kings (George R. R. Martin),标注,6527,2018/11/23 8:14,
crevices,A Clash of Kings (George R. R. Martin),标注,6531,2018/11/23 8:22,
scurrying,A Clash of Kings (George R. R. Martin),标注,6531,2018/11/23 8:22,
Gregor Clegane seem small. Harrenhal covered thrice,A Clash of Kings (George R. R. Martin),标注,6533,2018/11/23 8:24,
thrice,A Clash of Kings (George R. R. Martin),标注,6533,2018/11/23 8:24,
"Winterfell’s Great Hall, and its own great hall, grandly",A Clash of Kings (George R. R. Martin),标注,6535,2018/11/23 8:25,
grandly,A Clash of Kings (George R. R. Martin),标注,6535,2018/11/23 8:25,
cavernous,A Clash of Kings (George R. R. Martin),标注,6536,2018/11/23 8:25,
buttery,A Clash of Kings (George R. R. Martin),标注,6539,2018/11/23 8:26,
slut,A Clash of Kings (George R. R. Martin),标注,6539,2018/11/23 8:26,
gaoler,A Clash of Kings (George R. R. Martin),标注,6540,2018/11/23 8:27,
mutter,A Clash of Kings (George R. R. Martin),标注,6547,2018/11/23 8:29,
ropy,A Clash of Kings (George R. R. Martin),标注,6555,2018/11/23 8:30,
"flayed,",A Clash of Kings (George R. R. Martin),标注,6560,2018/11/23 8:35,
scrub,A Clash of Kings (George R. R. Martin),标注,6560,2018/11/23 8:35,
slobber,A Clash of Kings (George R. R. Martin),标注,6563,2018/11/23 8:37,
gatehouse,A Clash of Kings (George R. R. Martin),标注,6568,2018/11/23 8:38,
taunting,A Clash of Kings (George R. R. Martin),标注,6568,2018/11/23 8:39,
lisped,A Clash of Kings (George R. R. Martin),标注,6570,2018/11/23 8:39,
ford,A Clash of Kings (George R. R. Martin),标注,6572,2018/11/23 8:39,
jeered,A Clash of Kings (George R. R. Martin),标注,6573,2018/11/23 8:40,
ransomed,A Clash of Kings (George R. R. Martin),标注,6583,2018/11/23 8:42,
morsel.,A Clash of Kings (George R. R. Martin),标注,6584,2018/11/23 8:43,
cowled,A Clash of Kings (George R. R. Martin),标注,6593,2018/11/23 11:59,
wagon.,A Clash of Kings (George R. R. Martin),标注,6594,2018/11/23 12:00,
sewn,A Clash of Kings (George R. R. Martin),标注,6594,2018/11/23 12:00,
scurrying,A Clash of Kings (George R. R. Martin),标注,6597,2018/11/23 12:00,
wargs.,A Clash of Kings (George R. R. Martin),标注,6600,2018/11/23 12:02,
"encampments,",A Clash of Kings (George R. R. Martin),标注,6603,2018/11/23 12:03,
pommel,A Clash of Kings (George R. R. Martin),标注,6604,2018/11/23 12:03,
jest.,A Clash of Kings (George R. R. Martin),标注,6605,2018/11/23 12:03,
pail,A Clash of Kings (George R. R. Martin),标注,6608,2018/11/23 12:04,
hinges,A Clash of Kings (George R. R. Martin),标注,6609,2018/11/23 12:04,
portcullis,A Clash of Kings (George R. R. Martin),标注,6609,2018/11/23 12:05,
manticore,A Clash of Kings (George R. R. Martin),标注,6609,2018/11/23 12:05,
fester.,A Clash of Kings (George R. R. Martin),标注,6613,2018/11/23 12:07,
ponderously,A Clash of Kings (George R. R. Martin),标注,6615,2018/11/23 12:07,
destrier,A Clash of Kings (George R. R. Martin),标注,6615,2018/11/23 12:07,
flicker,A Clash of Kings (George R. R. Martin),标注,6620,2018/11/23 12:08,
pail.,A Clash of Kings (George R. R. Martin),标注,6621,2018/11/23 12:08,
squirming,A Clash of Kings (George R. R. Martin),标注,6627,2018/11/23 12:09,
"soapy,",A Clash of Kings (George R. R. Martin),标注,6630,2018/11/23 12:09,
ponder.”,A Clash of Kings (George R. R. Martin),标注,6637,2018/11/23 12:11,
droop,A Clash of Kings (George R. R. Martin),标注,6644,2018/11/23 12:12,
unscathed,A Clash of Kings (George R. R. Martin),标注,6653,2018/11/23 12:18,
grumbled.,A Clash of Kings (George R. R. Martin),标注,6654,2018/11/23 12:18,
"ford,",A Clash of Kings (George R. R. Martin),标注,6659,2018/11/23 12:19,
rousts,A Clash of Kings (George R. R. Martin),标注,6659,2018/11/23 12:19,
brooding,A Clash of Kings (George R. R. Martin),标注,6663,2018/11/23 12:20,
"cackled,",A Clash of Kings (George R. R. Martin),标注,6665,2018/11/23 12:21,
quaffed,A Clash of Kings (George R. R. Martin),标注,6665,2018/11/23 12:21,
"pouring,",A Clash of Kings (George R. R. Martin),标注,6665,2018/11/23 12:21,
anointed,A Clash of Kings (George R. R. Martin),标注,6670,2018/11/23 12:22,
besotted,A Clash of Kings (George R. R. Martin),标注,6673,2018/11/23 12:23,
flopping,A Clash of Kings (George R. R. Martin),标注,6675,2018/11/23 12:23,
fistful,A Clash of Kings (George R. R. Martin),标注,6680,2018/11/23 12:24,
dribbled,A Clash of Kings (George R. R. Martin),标注,6681,2018/11/23 12:25,
scraggy,A Clash of Kings (George R. R. Martin),标注,6682,2018/11/23 12:25,
breeches,A Clash of Kings (George R. R. Martin),标注,6683,2018/11/23 12:25,
caned,A Clash of Kings (George R. R. Martin),标注,6683,2018/11/23 12:25,
trencher,A Clash of Kings (George R. R. Martin),标注,6685,2018/11/23 12:26,
"cask,",A Clash of Kings (George R. R. Martin),标注,6689,2018/11/23 12:26,
bore.,A Clash of Kings (George R. R. Martin),标注,6699,2018/11/23 12:28,
grove,A Clash of Kings (George R. R. Martin),标注,6701,2018/11/23 16:02,
encircling,A Clash of Kings (George R. R. Martin),标注,6708,2018/11/23 16:04,
batter,A Clash of Kings (George R. R. Martin),标注,6712,2018/11/23 16:05,
sheltered,A Clash of Kings (George R. R. Martin),标注,6713,2018/11/23 16:05,
asunder,A Clash of Kings (George R. R. Martin),标注,6715,2018/11/23 16:06,
placate,A Clash of Kings (George R. R. Martin),标注,6716,2018/11/23 16:06,
relent.,A Clash of Kings (George R. R. Martin),标注,6716,2018/11/23 16:06,
"defiant,",A Clash of Kings (George R. R. Martin),标注,6719,2018/11/23 16:07,
Godsgrief,A Clash of Kings (George R. R. Martin),标注,6719,2018/11/23 16:07,
crevice,A Clash of Kings (George R. R. Martin),标注,6722,2018/11/23 16:08,
colossal,A Clash of Kings (George R. R. Martin),标注,6725,2018/11/23 16:09,
granary,A Clash of Kings (George R. R. Martin),标注,6725,2018/11/23 16:09,
barracks,A Clash of Kings (George R. R. Martin),标注,6725,2018/11/23 16:09,
flst,A Clash of Kings (George R. R. Martin),标注,6726,2018/11/23 16:09,
practiced,A Clash of Kings (George R. R. Martin),标注,6732,2018/11/23 16:10,
"topaz,",A Clash of Kings (George R. R. Martin),标注,6733,2018/11/23 16:11,
quilted,A Clash of Kings (George R. R. Martin),标注,6734,2018/11/23 16:11,
"quilted doublet, worn boots, breeches of brown",A Clash of Kings (George R. R. Martin),标注,6735,2018/11/23 16:11,
sect,A Clash of Kings (George R. R. Martin),标注,6737,2018/11/23 16:12,
palfrey,A Clash of Kings (George R. R. Martin),标注,6760,2018/11/23 16:17,
"rattle,",A Clash of Kings (George R. R. Martin),标注,6772,2018/11/24 14:27,
remnants,A Clash of Kings (George R. R. Martin),标注,6776,2018/11/24 14:28,
comely…”,A Clash of Kings (George R. R. Martin),标注,6783,2018/11/24 14:29,
abominations,A Clash of Kings (George R. R. Martin),标注,6792,2018/11/24 14:31,
peevish,A Clash of Kings (George R. R. Martin),标注,6801,2018/11/24 14:32,
"happenstance,",A Clash of Kings (George R. R. Martin),标注,6803,2018/11/24 14:32,
purblind,A Clash of Kings (George R. R. Martin),标注,6803,2018/11/24 14:32,
"droll,",A Clash of Kings (George R. R. Martin),标注,6808,2018/11/24 21:34,
taunts.”,A Clash of Kings (George R. R. Martin),标注,6812,2018/11/24 21:35,
shunned,A Clash of Kings (George R. R. Martin),标注,6819,2018/11/24 21:36,
farce.,A Clash of Kings (George R. R. Martin),标注,6820,2018/11/24 21:36,
whinnied,A Clash of Kings (George R. R. Martin),标注,6827,2018/11/24 21:38,
rabble,A Clash of Kings (George R. R. Martin),标注,6838,2018/11/24 21:40,
codfish,A Clash of Kings (George R. R. Martin),标注,6839,2018/11/24 21:40,
vanguard.”,A Clash of Kings (George R. R. Martin),标注,6841,2018/11/24 21:41,
feigned.,A Clash of Kings (George R. R. Martin),标注,6848,2018/11/24 21:42,
cherished,A Clash of Kings (George R. R. Martin),标注,6849,2018/11/24 21:42,
assault,A Clash of Kings (George R. R. Martin),标注,6858,2018/11/24 21:43,
besiegers.,A Clash of Kings (George R. R. Martin),标注,6862,2018/11/24 21:44,
garrisoned,A Clash of Kings (George R. R. Martin),标注,6868,2018/11/25 10:42,
clamor,A Clash of Kings (George R. R. Martin),标注,6888,2018/11/25 10:46,
"fealty,",A Clash of Kings (George R. R. Martin),标注,6909,2018/11/25 10:52,
weary,A Clash of Kings (George R. R. Martin),标注,6910,2018/11/25 10:52,
rote.,A Clash of Kings (George R. R. Martin),标注,6923,2018/11/25 12:39,
pockmarked,A Clash of Kings (George R. R. Martin),标注,6924,2018/11/25 12:39,
"bailey,",A Clash of Kings (George R. R. Martin),标注,6925,2018/11/25 12:40,
Loitering,A Clash of Kings (George R. R. Martin),标注,6926,2018/11/25 12:40,
averted,A Clash of Kings (George R. R. Martin),标注,6927,2018/11/25 12:40,
decreed,A Clash of Kings (George R. R. Martin),标注,6929,2018/11/25 13:01,
destrier,A Clash of Kings (George R. R. Martin),标注,6929,2018/11/25 13:01,
"wargs,",A Clash of Kings (George R. R. Martin),标注,6937,2018/11/25 13:02,
coiled,A Clash of Kings (George R. R. Martin),标注,6938,2018/11/25 13:02,
blotchy,A Clash of Kings (George R. R. Martin),标注,6950,2018/11/25 14:12,
whacking,A Clash of Kings (George R. R. Martin),标注,6950,2018/11/25 14:12,
staggering,A Clash of Kings (George R. R. Martin),标注,6951,2018/11/25 14:12,
snigger.,A Clash of Kings (George R. R. Martin),标注,6953,2018/11/25 14:13,
brusquely,A Clash of Kings (George R. R. Martin),标注,6954,2018/11/25 14:13,
"sprawling,",A Clash of Kings (George R. R. Martin),标注,6954,2018/11/25 14:13,
hideous,A Clash of Kings (George R. R. Martin),标注,6956,2018/11/25 14:14,
rasp.,A Clash of Kings (George R. R. Martin),标注,6959,2018/11/25 14:14,
yank.,A Clash of Kings (George R. R. Martin),标注,6960,2018/11/25 14:14,
ragged.,A Clash of Kings (George R. R. Martin),标注,6963,2018/11/25 14:15,
scratchy,A Clash of Kings (George R. R. Martin),标注,6969,2018/11/25 14:16,
harrumphed.,A Clash of Kings (George R. R. Martin),标注,6974,2018/11/25 14:16,
stab,A Clash of Kings (George R. R. Martin),标注,6993,2018/11/26 8:52,
scrawny,A Clash of Kings (George R. R. Martin),标注,6995,2018/11/26 8:52,
"Meekly,",A Clash of Kings (George R. R. Martin),标注,6998,2018/11/26 8:54,
nibbling,A Clash of Kings (George R. R. Martin),标注,7003,2018/11/26 8:55,
fascination,A Clash of Kings (George R. R. Martin),标注,7007,2018/11/26 8:56,
wroth.,A Clash of Kings (George R. R. Martin),标注,7009,2018/11/26 8:56,
Oxcross not three days ride from Casterly Rock.,A Clash of Kings (George R. R. Martin),标注,7010,2018/11/26 8:56,
exulting.,A Clash of Kings (George R. R. Martin),标注,7011,2018/11/26 8:57,
wanly.,A Clash of Kings (George R. R. Martin),标注,7012,2018/11/26 8:57,
"fawn,",A Clash of Kings (George R. R. Martin),标注,7012,2018/11/26 8:57,
wargs…”,A Clash of Kings (George R. R. Martin),标注,7013,2018/11/26 8:57,
disdainful,A Clash of Kings (George R. R. Martin),标注,7014,2018/11/26 8:57,
wineskin,A Clash of Kings (George R. R. Martin),标注,7014,2018/11/26 8:57,
wart.,A Clash of Kings (George R. R. Martin),标注,7014,2018/11/26 8:58,
trampled,A Clash of Kings (George R. R. Martin),标注,7016,2018/11/26 9:00,
"sentries,",A Clash of Kings (George R. R. Martin),标注,7021,2018/11/26 9:01,
shrug.,A Clash of Kings (George R. R. Martin),标注,7023,2018/11/26 9:01,
bane.,A Clash of Kings (George R. R. Martin),标注,7023,2018/11/26 9:01,
"solace,",A Clash of Kings (George R. R. Martin),标注,7029,2018/11/26 9:03,
reconcile,A Clash of Kings (George R. R. Martin),标注,7029,2018/11/26 9:03,
mucked,A Clash of Kings (George R. R. Martin),标注,7030,2018/11/26 9:04,
"notions,",A Clash of Kings (George R. R. Martin),标注,7030,2018/11/26 9:04,
betrothal?”,A Clash of Kings (George R. R. Martin),标注,7032,2018/11/26 9:05,
vipers,A Clash of Kings (George R. R. Martin),标注,7047,2018/11/26 9:11,
blurted,A Clash of Kings (George R. R. Martin),标注,7048,2018/11/26 9:12,
sconce,A Clash of Kings (George R. R. Martin),标注,7057,2018/11/26 9:15,
sketched,A Clash of Kings (George R. R. Martin),标注,7059,2018/11/26 9:16,
wizened,A Clash of Kings (George R. R. Martin),标注,7059,2018/11/26 9:16,
wanderer,A Clash of Kings (George R. R. Martin),标注,7060,2018/11/26 9:16,
"oval,",A Clash of Kings (George R. R. Martin),标注,7061,2018/11/26 9:17,
scant,A Clash of Kings (George R. R. Martin),标注,7061,2018/11/26 9:17,
crack,A Clash of Kings (George R. R. Martin),标注,7063,2018/11/26 9:17,
Flickering,A Clash of Kings (George R. R. Martin),标注,7067,2018/11/26 9:18,
charcoal,A Clash of Kings (George R. R. Martin),标注,7068,2018/11/26 9:18,
glimpsed,A Clash of Kings (George R. R. Martin),标注,7070,2018/11/26 9:19,
semblance,A Clash of Kings (George R. R. Martin),标注,7070,2018/11/26 9:19,
glare.,A Clash of Kings (George R. R. Martin),标注,7071,2018/11/26 9:19,
perished,A Clash of Kings (George R. R. Martin),标注,7073,2018/11/26 9:20,
"swam,",A Clash of Kings (George R. R. Martin),标注,7077,2018/11/26 9:21,
savor,A Clash of Kings (George R. R. Martin),标注,7079,2018/11/26 9:21,
etched,A Clash of Kings (George R. R. Martin),标注,7083,2018/11/26 9:22,
embodies,A Clash of Kings (George R. R. Martin),标注,7084,2018/11/26 9:23,
embodies,A Clash of Kings (George R. R. Martin),标注,7084,2018/11/26 9:23,
"“Each of the Seven embodies all of the Seven,” Septon Osmynd had told her once. There was as much beauty in the Crone as in the Maiden, and the Mother could be fiercer than the Warrior when her children were in danger. Yes…",A Clash of Kings (George R. R. Martin),标注,7085,2018/11/26 9:23,
incest,A Clash of Kings (George R. R. Martin),标注,7087,2018/11/26 9:25,
abominations,A Clash of Kings (George R. R. Martin),标注,7088,2018/11/26 9:25,
beseeched,A Clash of Kings (George R. R. Martin),标注,7095,2018/11/26 9:27,
bereft,A Clash of Kings (George R. R. Martin),标注,7105,2018/11/26 13:36,
tactics.,A Clash of Kings (George R. R. Martin),标注,7111,2018/11/26 15:30,
heed,A Clash of Kings (George R. R. Martin),标注,7113,2018/11/26 15:31,
inlay,A Clash of Kings (George R. R. Martin),标注,7115,2018/11/26 15:31,
unchivalrous,A Clash of Kings (George R. R. Martin),标注,7117,2018/11/26 15:32,
"is my own blood, I will not have his head paraded",A Clash of Kings (George R. R. Martin),标注,7121,2018/11/26 15:32,
paraded,A Clash of Kings (George R. R. Martin),标注,7121,2018/11/26 15:32,
postern,A Clash of Kings (George R. R. Martin),标注,7124,2018/11/26 15:33,
flung,A Clash of Kings (George R. R. Martin),标注,7124,2018/11/26 15:33,
catapults.,A Clash of Kings (George R. R. Martin),标注,7125,2018/11/26 15:33,
hurled,A Clash of Kings (George R. R. Martin),标注,7126,2018/11/26 15:34,
flinging,A Clash of Kings (George R. R. Martin),标注,7127,2018/11/26 15:34,
"guttering,",A Clash of Kings (George R. R. Martin),标注,7149,2018/11/26 15:38,
"scabbard,",A Clash of Kings (George R. R. Martin),标注,7150,2018/11/26 15:38,
stumbled,A Clash of Kings (George R. R. Martin),标注,7153,2018/11/26 15:38,
sheared,A Clash of Kings (George R. R. Martin),标注,7168,2018/11/26 15:40,
fumbled,A Clash of Kings (George R. R. Martin),标注,7170,2018/11/26 15:40,
wading,A Clash of Kings (George R. R. Martin),标注,7171,2018/11/26 15:40,
amiss.”,A Clash of Kings (George R. R. Martin),标注,7185,2018/11/26 15:42,
immense,A Clash of Kings (George R. R. Martin),标注,7190,2018/11/26 15:42,
myriad,A Clash of Kings (George R. R. Martin),标注,7207,2018/11/26 15:44,
jutted,A Clash of Kings (George R. R. Martin),标注,7213,2018/11/26 15:46,
dislodging,A Clash of Kings (George R. R. Martin),标注,7220,2018/11/26 15:53,
"bracing,",A Clash of Kings (George R. R. Martin),标注,7221,2018/11/26 15:53,
ringfort,A Clash of Kings (George R. R. Martin),标注,7222,2018/11/26 15:54,
toll.,A Clash of Kings (George R. R. Martin),标注,7225,2018/11/26 15:55,
"forearm,",A Clash of Kings (George R. R. Martin),标注,7228,2018/11/26 15:56,
tethered,A Clash of Kings (George R. R. Martin),标注,7233,2018/11/26 15:56,
garrons,A Clash of Kings (George R. R. Martin),标注,7233,2018/11/26 15:57,
waning,A Clash of Kings (George R. R. Martin),标注,7234,2018/11/26 15:57,
pinecones,A Clash of Kings (George R. R. Martin),标注,7238,2018/11/26 16:00,
balked,A Clash of Kings (George R. R. Martin),标注,7239,2018/11/26 16:00,
scruff,A Clash of Kings (George R. R. Martin),标注,7240,2018/11/26 16:00,
haul,A Clash of Kings (George R. R. Martin),标注,7240,2018/11/26 16:00,
bodily,A Clash of Kings (George R. R. Martin),标注,7241,2018/11/26 16:00,
mossy,A Clash of Kings (George R. R. Martin),标注,7243,2018/11/26 16:01,
